Species,Obl,r_H,log(r),A_vis,A_ir,<Z>,Log(<Z>)
CO2,90.0,0.10,-1.000,0.05,0.00,7.494e+19,19.875
CO2,90.0,0.13,-0.886,0.05,0.00,4.430e+19,19.646
CO2,90.0,0.16,-0.796,0.05,0.00,2.922e+19,19.466
CO2,90.0,0.20,-0.699,0.05,0.00,1.868e+19,19.271
CO2,90.0,0.25,-0.602,0.05,0.00,1.194e+19,19.077
CO2,90.0,0.32,-0.495,0.05,0.00,7.279e+18,18.862
CO2,90.0,0.40,-0.398,0.05,0.00,4.650e+18,18.667
CO2,90.0,0.50,-0.301,0.05,0.00,2.969e+18,18.473
CO2,90.0,0.63,-0.201,0.05,0.00,1.863e+18,18.270
CO2,90.0,0.79,-0.102,0.05,0.00,1.179e+18,18.072
CO2,90.0,1.00,0.000,0.05,0.00,7.301e+17,17.863
CO2,90.0,1.26,0.100,0.05,0.00,4.546e+17,17.658
CO2,90.0,1.58,0.199,0.05,0.00,2.842e+17,17.454
CO2,90.0,2.00,0.301,0.05,0.00,1.725e+17,17.237
CO2,90.0,2.51,0.400,0.05,0.00,1.051e+17,17.022
CO2,90.0,3.16,0.500,0.05,0.00,6.214e+16,16.793
CO2,90.0,3.98,0.600,0.05,0.00,3.530e+16,16.548
CO2,90.0,5.01,0.700,0.05,0.00,1.881e+16,16.274
CO2,90.0,6.31,0.800,0.05,0.00,8.894e+15,15.949
CO2,90.0,7.94,0.900,0.05,0.00,3.335e+15,15.523
CO2,90.0,10.00,1.000,0.05,0.00,6.912e+14,14.840
CO2,90.0,12.59,1.100,0.05,0.00,1.445e+13,13.160
CO2,90.0,15.85,1.200,0.05,0.00,4.443e+09,9.648
CO2,90.0,19.95,1.300,0.05,0.00,3.814e+05,5.581
CO2,90.0,25.12,1.400,0.05,0.00,1.000e+01,1.000
