Species,Obl,r_H,log(r),A_vis,A_ir,<Z>,Log(<Z>)
H2O,90.0,0.10,-1.000,0.05,0.00,4.202e+19,19.623
H2O,90.0,0.13,-0.886,0.05,0.00,2.477e+19,19.394
H2O,90.0,0.16,-0.796,0.05,0.00,1.630e+19,19.212
H2O,90.0,0.20,-0.699,0.05,0.00,1.039e+19,19.016
H2O,90.0,0.25,-0.602,0.05,0.00,6.611e+18,18.820
H2O,90.0,0.32,-0.495,0.05,0.00,4.002e+18,18.602
H2O,90.0,0.40,-0.398,0.05,0.00,2.534e+18,18.404
H2O,90.0,0.50,-0.301,0.05,0.00,1.598e+18,18.204
H2O,90.0,0.63,-0.201,0.05,0.00,9.850e+17,17.993
H2O,90.0,0.79,-0.102,0.05,0.00,6.071e+17,17.783
H2O,90.0,1.00,0.000,0.05,0.00,3.608e+17,17.557
H2O,90.0,1.26,0.100,0.05,0.00,2.113e+17,17.325
H2O,90.0,1.58,0.199,0.05,0.00,1.205e+17,17.081
H2O,90.0,2.00,0.301,0.05,0.00,6.294e+16,16.799
H2O,90.0,2.51,0.400,0.05,0.00,3.025e+16,16.481
H2O,90.0,3.16,0.500,0.05,0.00,1.182e+16,16.073
H2O,90.0,3.98,0.600,0.05,0.00,3.050e+15,15.484
H2O,90.0,5.01,0.700,0.05,0.00,2.971e+14,14.473
H2O,90.0,6.31,0.800,0.05,0.00,5.731e+12,12.758
H2O,90.0,7.94,0.900,0.05,0.00,4.571e+10,10.660
H2O,90.0,10.00,1.000,0.05,0.00,1.953e+08,8.291
H2O,90.0,12.59,1.100,0.05,0.00,4.346e+05,5.638
H2O,90.0,15.85,1.200,0.05,0.00,4.621e+02,2.665
H2O,90.0,19.95,1.300,0.05,0.00,2.158e-01,-0.666
H2O,90.0,25.12,1.400,0.05,0.00,3.919e-05,-4.407
