Species,Obl,r_H,log(r),A_vis,A_ir,<Z>,Log(<Z>)
H2O_CH4,90.0,0.10,-1.000,0.05,0.00,4.564e+19,19.659
H2O_CH4,90.0,0.13,-0.886,0.05,0.00,2.677e+19,19.428
H2O_CH4,90.0,0.16,-0.796,0.05,0.00,1.755e+19,19.244
H2O_CH4,90.0,0.20,-0.699,0.05,0.00,1.114e+19,19.047
H2O_CH4,90.0,0.25,-0.602,0.05,0.00,7.063e+18,18.849
H2O_CH4,90.0,0.32,-0.495,0.05,0.00,4.259e+18,18.629
H2O_CH4,90.0,0.40,-0.398,0.05,0.00,2.689e+18,18.430
H2O_CH4,90.0,0.50,-0.301,0.05,0.00,1.691e+18,18.228
H2O_CH4,90.0,0.63,-0.201,0.05,0.00,1.039e+18,18.016
H2O_CH4,90.0,0.79,-0.102,0.05,0.00,6.383e+17,17.805
H2O_CH4,90.0,1.00,0.000,0.05,0.00,3.783e+17,17.578
H2O_CH4,90.0,1.26,0.100,0.05,0.00,2.209e+17,17.344
H2O_CH4,90.0,1.58,0.199,0.05,0.00,1.256e+17,17.099
H2O_CH4,90.0,2.00,0.301,0.05,0.00,6.537e+16,16.815
H2O_CH4,90.0,2.51,0.400,0.05,0.00,3.130e+16,16.496
H2O_CH4,90.0,3.16,0.500,0.05,0.00,1.216e+16,16.085
H2O_CH4,90.0,3.98,0.600,0.05,0.00,3.114e+15,15.493
H2O_CH4,90.0,5.01,0.700,0.05,0.00,2.994e+14,14.476
H2O_CH4,90.0,6.31,0.800,0.05,0.00,5.732e+12,12.758
H2O_CH4,90.0,7.94,0.900,0.05,0.00,4.571e+10,10.660
H2O_CH4,90.0,10.00,1.000,0.05,0.00,1.953e+08,8.291
H2O_CH4,90.0,12.59,1.100,0.05,0.00,4.346e+05,5.638
H2O_CH4,90.0,15.85,1.200,0.05,0.00,4.621e+02,2.665
H2O_CH4,90.0,19.95,1.300,0.05,0.00,2.158e-01,-0.666
H2O_CH4,90.0,25.12,1.400,0.05,0.00,3.919e-05,-4.407
