species,obliquity,r_H,rlog,Av,Air,Zbar,Zlog
H2O,90.0,3.9811,0.6000030866277404,0.0,0.0,3706872954166871.0,15.569007701689186
H2O,90.0,3.9811,0.6000030866277404,0.005,0.0,3643018182980009.5,15.561461338891704
H2O,90.0,3.9811,0.6000030866277404,0.01,0.0,3579596435228286.0,15.55383406691403
H2O,90.0,3.9811,0.6000030866277404,0.015,0.0,3516658174403526.0,15.546130156151735
H2O,90.0,3.9811,0.6000030866277404,0.02,0.0,3454114447934793.0,15.53833672329603
H2O,90.0,3.9811,0.6000030866277404,0.025,0.0,3392015278495237.0,15.530457799761336
H2O,90.0,3.9811,0.6000030866277404,0.03,0.0,3330364587595060.5,15.522491779966812
H2O,90.0,3.9811,0.6000030866277404,0.035,0.0,3269619127009041.0,15.514497165298774
H2O,90.0,3.9811,0.6000030866277404,0.04,0.0,3208901965791156.0,15.506356449296723
H2O,90.0,3.9811,0.6000030866277404,0.045,0.0,3148646217588501.0,15.498123865977727
H2O,90.0,3.9811,0.6000030866277404,0.05,0.0,3088969196612126.0,15.489813577512173
H2O,90.0,3.9811,0.6000030866277404,0.055,0.0,3029965122879260.0,15.481437629483079
H2O,90.0,3.9811,0.6000030866277404,0.06,0.0,2971138656594607.0,15.47292291985778
H2O,90.0,3.9811,0.6000030866277404,0.065,0.0,2912790778368880.5,15.464309290991169
H2O,90.0,3.9811,0.6000030866277404,0.07,0.0,2854925672308702.0,15.455594805917634
H2O,90.0,3.9811,0.6000030866277404,0.075,0.0,2797547547200844.0,15.446777476544973
H2O,90.0,3.9811,0.6000030866277404,0.08,0.0,2740660635740007.0,15.437855262044401
H2O,90.0,3.9811,0.6000030866277404,0.085,0.0,2684269193696239.5,15.428826067187893
H2O,90.0,3.9811,0.6000030866277404,0.09,0.0,2628377499014439.5,15.419687740630906
H2O,90.0,3.9811,0.6000030866277404,0.095,0.0,2572989850838435.5,15.410438073138618
H2O,90.0,3.9811,0.6000030866277404,0.1,0.0,2518110568451295.5,15.401074795753578
H2O,90.0,3.9811,0.6000030866277404,0.105,0.0,2463743990123687.0,15.391595577902699
H2O,90.0,3.9811,0.6000030866277404,0.11,0.0,2409894471861310.0,15.381998025441364
H2O,90.0,3.9811,0.6000030866277404,0.115,0.0,2356566386042718.0,15.372279678632438
H2O,90.0,3.9811,0.6000030866277404,0.12,0.0,2303764119938412.0,15.362438010057861
H2O,90.0,3.9811,0.6000030866277404,0.125,0.0,2251492074102340.0,15.352470422460543
H2O,90.0,3.9811,0.6000030866277404,0.13,0.0,2199931810409262.0,15.342409219539505
H2O,90.0,3.9811,0.6000030866277404,0.135,0.0,2148814305605655.2,15.332198886624395
H2O,90.0,3.9811,0.6000030866277404,0.14,0.0,2098169076262696.5,15.321840481917253
H2O,90.0,3.9811,0.6000030866277404,0.145,0.0,2048071922347173.0,15.31134520373448
H2O,90.0,3.9811,0.6000030866277404,0.15,0.0,1998527265599937.5,15.300710077649326
H2O,90.0,3.9811,0.6000030866277404,0.155,0.0,1949539526351252.5,15.289932044808548
H2O,90.0,3.9811,0.6000030866277404,0.16,0.0,1901113120724188.0,15.27900795918247
H2O,90.0,3.9811,0.6000030866277404,0.165,0.0,1853252457655384.2,15.267934584725502
H2O,90.0,3.9811,0.6000030866277404,0.17,0.0,1806180967993592.0,15.256761261738065
H2O,90.0,3.9811,0.6000030866277404,0.17500000000000002,0.0,1759634985385563.0,15.24542258811322
H2O,90.0,3.9811,0.6000030866277404,0.18,0.0,1713519392549090.0,15.233889023869125
H2O,90.0,3.9811,0.6000030866277404,0.185,0.0,1667987997338392.5,15.222192921176743
H2O,90.0,3.9811,0.6000030866277404,0.19,0.0,1623045143802725.0,15.210330599574695
H2O,90.0,3.9811,0.6000030866277404,0.195,0.0,1578695145019764.5,15.198298273378677
H2O,90.0,3.9811,0.6000030866277404,0.2,0.0,1534942278349125.2,15.186092048434833
H2O,90.0,3.9811,0.6000030866277404,0.20500000000000002,0.0,1491790780427611.0,15.173707918795408
H2O,90.0,3.9811,0.6000030866277404,0.21,0.0,1449352002349082.5,15.161173874851658
H2O,90.0,3.9811,0.6000030866277404,0.215,0.0,1407459692700462.0,15.148435966231428
H2O,90.0,3.9811,0.6000030866277404,0.22,0.0,1366141965353804.5,15.135495832263654
H2O,90.0,3.9811,0.6000030866277404,0.225,0.0,1325441965066039.0,15.122360716751604
H2O,90.0,3.9811,0.6000030866277404,0.23,0.0,1285363619795762.0,15.109026003723173
H2O,90.0,3.9811,0.6000030866277404,0.23500000000000001,0.0,1245910779938485.5,15.095486943472647
H2O,90.0,3.9811,0.6000030866277404,0.24,0.0,1207087211316814.5,15.081738648743068
H2O,90.0,3.9811,0.6000030866277404,0.245,0.0,1168896587784092.5,15.067776090852751
H2O,90.0,3.9811,0.6000030866277404,0.25,0.0,1131342483682253.8,15.053594095869514
H2O,90.0,3.9811,0.6000030866277404,0.255,0.0,1094579307196932.1,15.039247233633699
H2O,90.0,3.9811,0.6000030866277404,0.26,0.0,1058316768483786.8,15.024615677353323
H2O,90.0,3.9811,0.6000030866277404,0.265,0.0,1022701055139754.0,15.009748704018502
H2O,90.0,3.9811,0.6000030866277404,0.27,0.0,987735244867670.0,14.994640550760051
H2O,90.0,3.9811,0.6000030866277404,0.275,0.0,953529306239117.0,14.979334045407557
H2O,90.0,3.9811,0.6000030866277404,0.28,0.0,919944240316474.0,14.963761504675178
H2O,90.0,3.9811,0.6000030866277404,0.28500000000000003,0.0,886953532822507.5,14.94790086789555
H2O,90.0,3.9811,0.6000030866277404,0.29,0.0,854623658566831.0,14.931774911231944
H2O,90.0,3.9811,0.6000030866277404,0.295,0.0,822956841870582.0,14.915377060207502
H2O,90.0,3.9811,0.6000030866277404,0.3,0.0,791955102679255.4,14.898700561373145
H2O,90.0,3.9811,0.6000030866277404,0.305,0.0,761620243952630.6,14.881738479126515
H2O,90.0,3.9811,0.6000030866277404,0.31,0.0,731953838613107.1,14.864483692714467
H2O,90.0,3.9811,0.6000030866277404,0.315,0.0,702957216063823.2,14.846928893451084
H2O,90.0,3.9811,0.6000030866277404,0.32,0.0,674644820029004.5,14.829075190165781
H2O,90.0,3.9811,0.6000030866277404,0.325,0.0,647091128584134.9,14.810965445822259
H2O,90.0,3.9811,0.6000030866277404,0.33,0.0,620113249332806.8,14.792471010577165
H2O,90.0,3.9811,0.6000030866277404,0.335,0.0,593807724114809.2,14.773645842499874
H2O,90.0,3.9811,0.6000030866277404,0.34,0.0,568174423459813.8,14.754481679932017
H2O,90.0,3.9811,0.6000030866277404,0.34500000000000003,0.0,543212883783816.5,14.734970061879704
H2O,90.0,3.9811,0.6000030866277404,0.35000000000000003,0.0,519028346972643.44,14.715191077689706
H2O,90.0,3.9811,0.6000030866277404,0.355,0.0,495411722925195.0,14.694966279079626
H2O,90.0,3.9811,0.6000030866277404,0.36,0.0,472463347907960.56,14.67436812307019
H2O,90.0,3.9811,0.6000030866277404,0.365,0.0,450181255200881.4,14.653387407740682
H2O,90.0,3.9811,0.6000030866277404,0.37,0.0,428563064624857.75,14.632014738985733
H2O,90.0,3.9811,0.6000030866277404,0.375,0.0,407605967203591.56,14.6102405332947
H2O,90.0,3.9811,0.6000030866277404,0.38,0.0,387306710178894.9,14.588055021304239
H2O,90.0,3.9811,0.6000030866277404,0.385,0.0,367721192048087.9,14.565518659306814
H2O,90.0,3.9811,0.6000030866277404,0.39,0.0,348727463895568.06,14.542486151415595
H2O,90.0,3.9811,0.6000030866277404,0.395,0.0,330378858219795.9,14.519012247933285
H2O,90.0,3.9811,0.6000030866277404,0.4,0.0,312670193616529.0,14.495086482570567
H2O,90.0,3.9811,0.6000030866277404,0.405,0.0,295595781193005.9,14.470698231422137
H2O,90.0,3.9811,0.6000030866277404,0.41000000000000003,0.0,279196162474660.4,14.445909444654802
H2O,90.0,3.9811,0.6000030866277404,0.41500000000000004,0.0,263373338314631.6,14.420571808557067
H2O,90.0,3.9811,0.6000030866277404,0.42,0.0,248164533176783.25,14.394739713720984
H2O,90.0,3.9811,0.6000030866277404,0.425,0.0,233561927488367.7,14.368402050643764
H2O,90.0,3.9811,0.6000030866277404,0.43,0.0,219557160661677.44,14.341547605799962
H2O,90.0,3.9811,0.6000030866277404,0.435,0.0,206141330524664.8,14.314165074842105
H2O,90.0,3.9811,0.6000030866277404,0.44,0.0,193304995103533.12,14.28624307657316
H2O,90.0,3.9811,0.6000030866277404,0.445,0.0,181038176937450.78,14.25777016760381
H2O,90.0,3.9811,0.6000030866277404,0.45,0.0,169358824535321.8,14.228807830724659
H2O,90.0,3.9811,0.6000030866277404,0.455,0.0,158207162760226.94,14.19922614209985
H2O,90.0,3.9811,0.6000030866277404,0.46,0.0,147582863911424.28,14.169035933769198
H2O,90.0,3.9811,0.6000030866277404,0.465,0.0,137510141099055.84,14.1383347277005
H2O,90.0,3.9811,0.6000030866277404,0.47000000000000003,0.0,127922642341814.7,14.106947421521618
H2O,90.0,3.9811,0.6000030866277404,0.47500000000000003,0.0,118833976015890.0,14.074940628242976
H2O,90.0,3.9811,0.6000030866277404,0.48,0.0,110230780037761.89,14.042302880668611
H2O,90.0,3.9811,0.6000030866277404,0.485,0.0,102099299205979.28,14.009022761166042
H2O,90.0,3.9811,0.6000030866277404,0.49,0.0,94425416952329.31,13.975088911208815
H2O,90.0,3.9811,0.6000030866277404,0.495,0.0,87194690094777.6,13.94049003845605
H2O,90.0,3.9811,0.6000030866277404,0.5,0.0,80392386445737.62,13.90521492087319
